,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2)
1272,2,6,4,1924,4.0,58503,95.0,40.0,2338852.0,663042.0,1675838.0,93.63,1.55
1273,5,17,0,1993,1.0,27744,66.0,172.0,4770943.0,4771140.0,0.0,33.26,0.46
1274,4,10,0,1960,1.0,36444,76.0,4.9,178243.0,178250.0,0.0,1.24,0.01
1275,4,10,0,1950,1.0,27553,57.0,47.7,1314716.0,411668.0,903065.0,50.83,1.78
1279,4,14,6,1964,2.0,45271,50.0,56.1,2540153.0,1341630.0,1198578.0,73.01,1.49
1280,4,17,6,1920,3.0,28380,46.0,55.9,1585441.0,980462.0,605020.0,38.97,1.22
1281,4,5,6,2009,5.0,508160,77.0,79.4,27139746.0,22654631.0,4486057.0,396.18,0.59
1282,4,17,6,1926,3.0,26176,85.0,53.1,1259456.0,591661.0,667820.0,39.59,1.42
1283,4,17,6,1926,1.0,37740,1.0,194.5,7291418.0,6916162.0,375542.0,68.16,1.02
1285,3,8,7,2008,7.0,178911,96.0,28.1,5187610.0,2672339.0,2515382.0,152.22,0.79
1286,4,19,7,2009,3.0,23241,60.0,33.5,777915.0,443363.0,334570.0,20.86,0.82
1292,4,17,6,1999,4.0,38038,81.0,55.5,2112095.0,2112183.0,0.0,14.72,0.15
1293,4,17,6,2007,4.0,64596,93.0,54.2,2255263.0,1231152.0,1024163.0,62.98,0.89
1294,4,17,6,1928,3.0,41466,1.0,238.1,9621807.0,5535838.0,4086199.0,255.61,5.59
1295,4,5,6,2013,6.0,130710,92.0,56.2,7359802.0,6570724.0,789351.0,87.73,0.45
1297,3,8,6,2013,7.0,102120,100.0,29.7,2162760.0,1396747.0,766071.0,50.42,0.43
1298,4,9,7,1964,4.0,25132,51.0,49.7,504439.0,504460.0,0.0,3.52,0.05
1299,3,8,7,2012,7.0,301831,100.0,31.8,6508595.0,2431430.0,4077265.0,233.49,0.74
1300,2,6,7,1929,3.0,32908,57.0,79.0,1917399.0,365647.0,1551767.0,84.96,2.53
1309,3,8,3,1989,8.0,42765,18.0,58.7,1783195.0,1783269.0,0.0,12.43,0.11
1317,4,9,3,1990,4.0,82065,93.0,40.4,1679127.0,1679196.0,0.0,11.71,0.05
1319,4,17,3,1910,4.0,36160,37.0,57.3,2071600.0,2071686.0,0.0,14.44,0.15
